Monkey,Muscle,Healthy_Mean_Raw,Healthy_SEM_Raw,Healthy_N_Raw,Stroke_Mean_Raw,Stroke_SEM_Raw,Stroke_N_Raw,Impairment_Pct_Raw,P_Value_Raw,Cohens_D_Raw,Effect_Size_Raw,Significant_Raw,Healthy_Mean_Clean,Healthy_SEM_Clean,Healthy_N_Clean,Stroke_Mean_Clean,Stroke_SEM_Clean,Stroke_N_Clean,Impairment_Pct_Clean,P_Value_Clean,Cohens_D_Clean,Effect_Size_Clean,Significant_Clean
Olive,Upper Arm,12.229245500712922,0.5069045714234981,182,6.042315665496983,0.5741857453829207,273,50.59126366262958,6.037930786313949e-32,0.725476625103767,medium,True,12.229245500712922,0.5069045714234981,182,2.7098758040479023,0.10411528218339401,235,77.84102213100616,3.022248466533894e-53,2.0372929172516123,large,True
Olive,Forearm,14.56549165725555,0.754059587082989,182,4.8312962584790835,0.1948157430865341,273,66.83053087279443,2.773776682410491e-19,1.4113441532337654,large,True,14.56549165725555,0.754059587082989,182,4.2867224189016815,0.11671986569569456,261,70.56932563779044,5.878967292970671e-21,1.53963681649504,large,True
Olive,Hand,71.38683477505336,9.059712807731842,182,11.557861170995913,0.599845010315029,273,83.80953405846356,1.2725613006338893e-05,0.7706124018070025,medium,True,53.73906776458914,5.08393184062988,176,10.636240479427599,0.38000375043985096,268,80.20762003907286,5.602657825306546e-05,1.009116713335146,large,True
Cheddar,Upper Arm,33.336301799879166,3.253664363864035,105,1.0416153869435532,0.014145683337694212,207,96.87543209442828,3.221052301357333e-47,1.6722908817389346,large,True,28.725603731840078,1.949719298922196,102,1.0416153869435532,0.014145683337694212,207,96.37391298485049,2.3955899185518283e-46,2.4508553229566203,large,True
Cheddar,Forearm,38.1976671731792,5.1919167160321,105,166.28399577962043,87.1115129770969,207,-335.3250030315413,7.795892849301645e-15,-0.12531176287997417,small,True,25.69689038010986,2.980024369734581,97,7.312753790438634,0.20413838579225335,192,71.54226179795312,7.680317430956754e-17,1.0731653458258366,large,True
Cheddar,Hand,12.992806767632995,1.7656336468691531,105,1.0724831522656297,0.014149643613172447,207,91.74556220648687,3.221052301357333e-47,1.1373719839406613,large,True,7.978463498542859,0.4014395834128162,96,1.0724831522656297,0.014149643613172447,207,86.55777327976118,1.493134342735806e-44,3.1162567908039827,large,True
Chive,Upper Arm,36.68628657644451,3.4277240177333814,85,24.763101613368285,2.1323579017303795,207,32.50038659059009,1.5348936151192897e-07,0.3852476648013869,small,True,28.052630064106022,1.6801649297611128,77,20.949160402971074,1.3974682716196916,201,25.321938245726194,1.5138359827520322e-06,0.38282568825138225,small,True
Chive,Forearm,229.35740375495243,33.42083272992615,85,370.487670036451,260.35115127577757,207,-61.5329019124595,1.7959275574172707e-36,-0.04464188830954888,small,True,197.7104088462263,29.13586125574523,82,2.755806343107898,0.11362605069489219,192,98.60613998059591,4.2271494096995676e-38,1.3540116933108637,large,True
Chive,Hand,271.31734473489394,37.36651798228424,85,1.0632398175523208,0.012633870598804864,207,99.60811948141715,4.532709141329618e-41,1.4576035395475768,large,True,207.3741604467306,25.900236071409072,80,1.0632398175523208,0.012633870598804864,207,99.48728432931959,2.1267379395038894e-39,1.6915390835387956,large,True
